会社名,業種,所在地（市区町村まで）,電話（会社代表番号のみ）,公式URL,車両台数または重機台数（公開されていれば）,想定燃料,情報源URL,取得日,備考
倉本運送株式会社,運送業,兵庫県西宮市（西宮浜）,0798-33-9164,https://www.kuramoto-exp.co.jp/,161台（グループ全体500台）,軽油,https://www.kuramoto-exp.co.jp/business/company,2026-09-11,グループ8社17事業所。関西から全国展開。大規模のためインタンク保有の可能性あり（未確認）
株式会社ヨシダ商事運輸,運送業,兵庫県西宮市（鳴尾浜）,0798-41-7666,https://www.yoshidashoji.co.jp/,142台（10t冷蔵冷凍車34台・4t冷蔵冷凍車44台・2t冷蔵冷凍車13台等）,軽油,https://www.yoshidashoji.co.jp/shopinfo,2026-09-11,冷蔵冷凍車主体。1971年設立・従業員160人（検索要約）
株式会社西宮髙速運輸,運送業,兵庫県西宮市（西宮浜）,0798-35-2212,https://nk-nishiko.co.jp/,,軽油,https://map.yahoo.co.jp/v3/place/fcAqXwYWrzE,2026-09-11,一般貨物自動車運送業。従業員121名（SalesNow DB 検索要約）。台数未公開
株式会社大前運送店,運送業,兵庫県神戸市東灘区（深江浜）,078-435-1280,https://omae.jp/,28台（大型ウイング8・大型平ボディ4・4tウイング9・4t平ボディ5・7tウイング1・2t箱1）,軽油,https://omae.jp/company.html,2026-09-11,1921年創業。倉庫業・保税蔵置所も。2026年1月に大型平ボディ14t増車（公式サイト検索要約）
株式会社マルゼン,運送業,兵庫県神戸市東灘区（住吉浜町）,078-821-0150,https://www.maruzen-57.com/,,軽油,https://www.maruzen-57.com/company,2026-09-11,昭和57年創業。食品から重量物まで。トラック一覧ページあり（台数は未取得）
株式会社神戸興業運送,運送業,兵庫県神戸市西区（玉津町水谷）,078-991-3323,https://kobekogyo-trp.jp/,,軽油,https://map.yahoo.co.jp/v3/place/chyOIOxjyxE,2026-09-11,平ボディ多数保有・鋼材や精密機材（公式サイト検索要約）。特別積合せ貨物運送業
神戸運送自動車株式会社,運送業,,,https://www.kobeunso.com/,,軽油,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5140001018948,2026-09-11,所在地（市区）・電話は検索で未確認。従業員155名（2010年時点・検索要約）。神戸物流センターあり
日置運送株式会社,運送業,兵庫県明石市（大久保町谷八木）,079-441-0771,http://www.hok-transport.jp/,101台（大型30・中型16・トレーラーヘッド18・トレーラー37）,軽油,https://compalyze.co.jp/company/5140001035373,2026-09-11,特殊・超重量貨物に特化。産業廃棄物収集運搬事業も。1970年創業・従業員78名
明石運輸株式会社,運送業,兵庫県明石市（大久保町大窪）,078-935-1201,https://akashiunyu.co.jp/,79台,軽油,https://atcompany.jp/akashiunyu/,2026-09-11,昭和36年設立・資本金3000万円・従業員73名（検索要約）
尼崎南運輸株式会社,運送業,兵庫県尼崎市（元浜町）,06-6413-8854,https://amanan.jp/,,軽油,https://baseconnect.in/companies/ba0b047e-3552-4c98-8e65-ff40b3871d4b,2026-09-11,関西スーパーへの配送が主（物流センターから阪神間各店舗）。台数未公開
