会社名,所在地,電話,公式URL,賃貸住宅管理業登録番号,管理戸数,情報源URL,取得日
岸岡不動産管理株式会社,大阪府豊中市,06-6333-2103,https://www.krem.jp/,,,https://www.krem.jp/company/,2026-09-11
淀川住宅株式会社,大阪府豊中市,06-6843-8521,https://yodo-jyutaku.co.jp/,,360戸（2024年1月時点。トップページでは390戸表記）,https://yodo-jyutaku.co.jp/pages/3/,2026-09-11
株式会社成都管理サービス,大阪府豊中市,06-4865-5150,https://www.seito-kanri-service.com/,国土交通大臣(2)第000478号,"14,600戸",https://www.seito-kanri-service.com/company/,2026-09-11
株式会社Create,大阪府豊中市,06-6836-9188,https://www.0519.jp/,,,https://www.0519.jp/company/,2026-09-11
西村商事株式会社,大阪府豊中市,06-6331-2030,http://www.nishimuracorp.jp/,,,http://www.nishimuracorp.jp/kanribukken.html,2026-09-11
株式会社クラップ,大阪府豊中市,,https://clapclap.jp/,,,https://clapclap.jp/,2026-09-11
興和アシスト株式会社（不動産部）,大阪府豊中市,06-6848-5544,https://www.kowa-assist-chukai.jp/,,,https://www.jpm.jp/branch/list.php?cid=27,2026-09-11
有限会社池田産業,大阪府箕面市,,,(01)第0005346号,,https://fudono.com/%E8%B3%83%E8%B2%B8%E7%AE%A1%E7%90%86%E4%BC%9A%E7%A4%BE/s/%E5%A4%A7%E9%98%AA%E5%BA%9C/%E7%AE%95%E9%9D%A2%E5%B8%82/,2026-09-11
株式会社マザーホーム,大阪府箕面市,,,(02)第0000415号,,https://fudono.com/%E8%B3%83%E8%B2%B8%E7%AE%A1%E7%90%86%E4%BC%9A%E7%A4%BE/s/%E5%A4%A7%E9%98%AA%E5%BA%9C/%E7%AE%95%E9%9D%A2%E5%B8%82/,2026-09-11
箕面ハウジング株式会社,大阪府箕面市,,https://www.minoh-housing.jp/,,,https://www.minoh-housing.jp/,2026-09-11
センチュリー21みのパラ（法人名未確認）,大阪府箕面市,,https://www.minopara.net/,,,https://www.minopara.net/,2026-09-11
株式会社ニチレク（ピタットハウス池田店）,大阪府池田市,,https://www.fudosan-nichireku.com/,,,https://www.fudosan-nichireku.com/contents/rent-owner/,2026-09-11
株式会社マイホーム,大阪府池田市,,https://www.myhome-fudousan.com/,,,https://www.myhome-fudousan.com/,2026-09-11
ふか喜株式会社（検索要約では FKK不動産販売株式会社。正式名称は要確認）,大阪府池田市,,https://www.fukaki.net/,,,https://www.fukaki.net/,2026-09-11
江坂リアルティ株式会社,大阪府吹田市,,,,,https://www.e-jpm.com/member/,2026-09-11
らいおん不動産（法人名未確認）,兵庫県伊丹市,,https://lionfudousan.com/,,,https://lionfudousan.com/,2026-09-11
株式会社エスタス管財,大阪府大阪市北区,06-6242-8460,http://www.s-tus.co.jp/,,"3,600戸以上",https://www.osaka-takken.or.jp/search/result_detail/?id=02710525320,2026-09-11
ゆたか管理サービス（法人名未確認）,大阪府大阪市東淀川区,06-4809-8006,https://www.yutaka-ks.jp/,,,https://www.yutaka-ks.jp/company/,2026-09-11
コスモハウジング（法人名未確認）,大阪府大阪市東淀川区,06-6370-8100,https://www.cosmoh.jp/,,,https://www.cosmoh.jp/kanri/,2026-09-11
住宅ファミリー社（法人名未確認）,大阪府大阪市東淀川区,,https://tsunagari.jyuutaku-family.co.jp/,,,https://tsunagari.jyuutaku-family.co.jp/,2026-09-11
