取引先ID,事業,会社名,業種,都道府県,市区町村,住所,決裁者役職,決裁者氏名,電話,メール,LINE,Instagram,X,URL,紹介元,ステージ,優先度,連絡NG,反社チェック日,リスト出所,取込日,最終接触日,次アクション,次アクション期限,メモ,重複キー
C000001,清掃,でゅお不動産株式会社,管理会社,大阪府,吹田市,吹田市千里山東1-19-18,,,,,,,,,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒565-0842,でゅお不動産
C000002,清掃,エーピーエム（株）,管理会社,大阪府,吹田市,大阪府吹田市江の木町1-38西谷東急ビル,,,,,,,,https://www.apm01.jp,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒564-0053,エーピーエム
C000003,清掃,ユニヴ・ライフ（株）,管理会社,大阪府,吹田市,大阪府吹田市広芝町10-8江坂董友ビル1階,,,,,,,,https://www.univlife.co.jp,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒564-0052,ユニヴ・ライフ
C000004,清掃,旭中央株式会社,管理会社,大阪府,吹田市,吹田市江坂町1丁目23番43号ファサード江坂ビル6階,,,,,,,,,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒564-0063,旭中央
C000005,清掃,株式会社サンキ,管理会社,大阪府,吹田市,吹田市樫切山2-19,,,,,,,,,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒565-0806,サンキ
C000006,清掃,（株）アイ・ディー・シー,管理会社,大阪府,吹田市,大阪府吹田市広芝町10-35江坂南口第二ビル6F,,,,,,,,https://www.id-com.co.jp,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒564-0052,アイ・ディー・シー
C000007,清掃,（株）エルプラス,管理会社,大阪府,吹田市,大阪府吹田市江の木町1-38西谷東急ビル9F,,,,,,,,,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒564-0053,エルプラス
C000008,清掃,（株）ストライド,管理会社,大阪府,吹田市,大阪府吹田市豊津町17番5号,,,,,,,,https://stride-inc.jp,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒564-0051,ストライド
C000009,清掃,（株）ベストサービス,管理会社,大阪府,吹田市,大阪府吹田市江坂町2丁目2ー9紙谷第7ビル6F,,,,,,,,https://www.best-service.info,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒564-0063,ベストサービス
C000010,清掃,（株）ライフ不動産,管理会社,大阪府,吹田市,大阪府吹田市佐井寺4丁目43番8号,,,,,,,,https://www.life-kanri.co.jp,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒565-0836,ライフ不動産
C000011,清掃,（株）大阪ガスファシリティーズ,管理会社,大阪府,吹田市,大阪府吹田市金田町28-12,,,,,,,,https://www.ogfa.co.jp,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒564-0045,大阪ガスファシリティーズ
C000012,清掃,（株）ＳＫ不動産,管理会社,大阪府,吹田市,大阪府吹田市垂水町3丁目30-13,,,,,,,,https://www.e-net.or.jp,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒564-0062,SK不動産
C000013,清掃,Ｋｅｙ　Ｅｎｔｒａｎｃｅ（株）,管理会社,大阪府,吹田市,大阪府吹田市千里山西1丁目35-43,,,,,,,,https://keyentrance.com,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒565-0851,KeyEntrance
C000014,清掃,（株）成都管理サービス,管理会社,大阪府,池田市,大阪府池田市石橋3丁目2-1大空第一ビル101,,,,,,,,https://www.seito-kanri-service.com,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒563-0032,成都管理サービス
C000015,清掃,パナソニックホームズグループ,管理会社,大阪府,豊中市,豊中市新千里西町1-1-4 10F,,,,,,,,,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒560-8543,パナソニックホームズグループ
C000016,清掃,平山住研（株）,管理会社,大阪府,豊中市,大阪府豊中市新千里西町1丁目1-4,,,,,,,,https://www.hirajyu.co.jp,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒560-0083,平山住研
